PL_id,season,match_week,date,kickoff,referee,stadium,city,attendance,home_team,away_team,home_position,away_position,home_performance,away_performance,home_avg_scored,away_avg_scored,home_avg_conceded,away_avg_conceded,home_performance_last_five,away_performance_last_five,home_performance_as_home,away_performance_as_away,home_avg_scored_as_home,away_avg_scored_as_away,home_avg_conceded_as_home,away_avg_conceded_as_away,result,home_score,away_score,home_ht_score,away_ht_score,home_goals,away_goals,home_first_goal,away_first_goal,home_last_goal,away_last_goal,home_yellow_pl,away_yellow_pl,home_red_pl,away_red_pl,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,home_lineup,away_lineup
0,1990,1,0,0,0,0,0,0,Tottenham Hotspur,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WayneRooney-StevenReid-DenisStracqualursi-KeirenWestwood-Yakubu-HarisVuckic-HeidarHelguson-StevenGerrard-BradleyJohnson-DarrenBent-DavidStockdale,ÁkosBuzsáky-RitchiedeLaet-DeanWhitehead-HugoRodallega-GarethBarry-StewartDowning-VincentKompany-Piscu-MauroFormica-SebastienBassong-KeithAndrews
0,1990,1,0,0,0,0,0,0,Wigan Athletic,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RobbieKeane-BrettEmerton-PapissDembaCissé-MarkDavies-KevinDavies-JamieCarragher-GaëlClichy-DavideSanton-KerimFrei-AleksandarKolarov-TimCahill,CarlJenkinson-SebastiánCoates-EggertJónsson-PhilippeSenderos-StephenWarnockOwn-PeterCrouchOwn-LouisSaha-Gervinho-StephenIreland-YoussoufMulumbu-RadosavPetrovic
0,1990,1,0,0,0,0,0,0,Norwich City,Blackburn Rovers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BillyJones-TonyHibbertOwn-DavidSilva-MarcWilson-JohnTerry-CiaranClark-StefanSavic-MartinKelly-KoloTouré-ShaneLong-AndreaOrlandi,RaulMeireles-Sandro-StevenCaulker-DavidFox-MarkSchwarzer-ChrisHerd-JamieO'Hara-FábioAurélio-MichelVorm-Anderson-RyanGiggs
0,1990,1,0,0,0,0,0,0,Swansea City,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DannyRose-DembaBa-PetrCech-LiamRidgewell-FraizerCampbell-WayneBridge-ConorSammon-PaulRobinson-DavidLuiz-SergioAgüeroPen.Scored-MarcAlbrighton,JeanBeausejour-WojciechSzczesny-WayneRoutledge-AndrewCrofts-PepeReina-DidierDrogbaPen.Scored-RussellMartin-DarrenBentPen.Scored-SambaDiakité-GaryCahill-JermaineJenas
0,1990,1,0,0,0,0,0,0,Fulham,Stoke City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NikicaJelavic-CraigBellamy-AaronWilbraham-DavidJones-GabrielObertan-SebastianLarsson-SamHutchinson-FrancoDiSanto-CraigGardner-MichaelTurner-HeidarHelgusonPen.Scored,AlejandroFaurlin-JoséEnrique-TayeTaiwo-ScottDann-JamesMorrison-ChrisBaird-MortenGamstPedersen-MousaDembélé-MikelArteta-MaynorFigueroa-DicksonEtuhu
0,1990,1,0,0,0,0,0,0,Sunderland,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChicharitoPen.Scored-AaronRamseyOwn-FabricioColoccini-DavidDavis-NicolasAnelka-JoshMcEachran-JamesMilnerPen.Scored-GabrielAgbonlahor-CharlieAdamOwn-ShaneDuffy-LukeMoore,DirkKuyt-ElliottWard-StevenFletcher-JamesPerch-BenoitAssou-StephenDobbie-ZatKnight-RyanTaylor-VedranCorluka-NickyShorey-AaronHughes
0,1990,1,0,0,0,0,0,0,Everton,West Bromwich Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GaëlGivet-SylvainDistin-JakeLivermore-ChristopheBerra-PabloZabaleta-ChrisMartin-CheickTioté-ZakWhitbread-JoleonLescott-NikicaJelavicPen.Scored-RyanBertrand,TimHoward-JohnObiMikel-RubénRochina-JordiGómez-DannySimpson-SimonVukcevic-PaulScholes-MicahRichards-BobbyZamora-TomasRosicky-AndersLindegaard
0,1990,1,0,0,0,0,0,0,Queens Park Rangers,Newcastle United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NathanBaker-DannyGuthrie-AhmedElMohamady-SteveGohouri-GaryCaldwell-LeonBest-ThomasVermaelen-KarlHenry-JermaineBeckford-FernandoTorres-YayaTouré,RobertHuth-KevinDoyleOwn-EmileHeskey-RoryDelap-AsmirBegovic-JamesMcClean-BenWatsonPen.Scored-MartinPetrov-NigeldeJong-RichardStearman-PaddyKenny
0,1990,1,0,0,0,0,0,0,Arsenal,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FlorentMalouda-AsamoahGyan-SteveMorison-ThomasVermaelenOwn-JonásGutiérrez-NikoKranjcar-ShayGiven-FabianDelph-TuncaySanli-MarkBunn-DJCampbell,FrankLampardPen.Scored-Blake-AlexOxlade-KevinDoyle-MichaelCarrick-NeilTaylorOwn-ChrisEagles-SimonCox-GabrielTamas-DarrenFletcher-RioFerdinand
0,1990,1,0,0,0,0,0,0,Bolton Wanderers,Manchester United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MatthewEtherington-GarryMonk-TimReam-RossTurnbull-KyleNaughton-LaurentKoscielny-JohnArneRiise-SimonDavies-SholaAmeobi-ShaunMaloney-PeterCrouch,StevenReidOwn-BranislavIvanovic-DavidPizarro-DannyGraham-JonFlanagan-MichaelKightly-BryanRuiz-KieranGibbs-ZdenekGrygera-DannyMurphyPen.Scored-HenriqueHilário
